Gene,Amacrine,Bipolar,Cone,Cornea,Horizontal,Muller Glia,RGC,Rod,RPE,Microglia
AL807792.1,0,0.000335661,0.000328623,0,0,0,0,0.002277904,0,0
atoh1a,0.000966806,0.000469925,0,0.001338688,0,0,0.001583531,0,0,0
smarcad1a,0.017402514,0.003960795,0.033519553,0.014725569,0.009787928,0.017283951,0.030087094,0.002277904,0.058383234,0.052941176
AL928845.1,0,0.000201396,0,0,0,0,0,0,0,0.005882353
prf1.5,0.003867225,0.005236305,0.000657246,0.00669344,0.001223491,0.001646091,0.003167063,0.006833713,0.005988024,0.005882353
mpeg1.1,0,6.71E-05,0.000328623,0,0,0,0,0,0.002994012,0.611764706
si:ch211-103n10.5,0.002255881,0.000402793,0.000328623,0.00669344,0.001223491,0.004938272,0.002375297,0,0.010479042,0.017647059
tspan36,0.028359652,0.022153598,0.056523168,0.274431058,0.034257749,0.120987654,0.052256532,0.01594533,0.684131737,0.747058824
mapk4,0.012890751,0.004833512,0.007886954,0.024096386,0.005301794,0.047736626,0.121140143,0.002277904,0.00748503,0
slc20a2,0.460844344,0.196160043,0.327308577,0.220883534,0.146411093,0.320987654,0.380839272,0.195899772,0.494011976,0.082352941
hsd17b3,0.004834032,0.001946831,0.019060138,0.004016064,0.007340946,0.003292181,0.005542359,0,0.010479042,0.005882353
CR376747.1,0,0,0.000328623,0,0,0,0,0,0,0
ercc6l2,0.011279407,0.005303437,0.01610253,0.018741633,0.015497553,0.018106996,0.015043547,0.004555809,0.010479042,0.005882353
ptch1,0.009023526,0.004296455,0.018402892,0.163319946,0.008156607,0.111934156,0.022961203,0.006833713,0.032934132,0.005882353
fancc,0.001289075,0.000537057,0.000657246,0.001338688,0.008156607,0.001646091,0.003167063,0.002277904,0,0
aopep,0.004834032,0.000872718,0.002300361,0.105756359,0,0.003292181,0.009501188,0,0.05239521,0.005882353
dock8,0.016435707,0.072099893,0.050607953,0.044176707,0.018352365,0.271604938,0.022961203,0.020501139,0.03742515,0.335294118
CT027611.1,0,0.000134264,0.000328623,0,0,0,0,0,0,0
cbwd,0.033515952,0.013090763,0.046993099,0.021419009,0.018760196,0.024691358,0.06888361,0.011389522,0.043413174,0.041176471
foxd5,0.000644538,0.000402793,0.001971738,0.001338688,0,0,0,0,0.001497006,0
pgm5,0,0,0,0,0,0,0.000791766,0,0,0
BCR,0.108604576,0.059613319,0.016759777,0.036144578,0.034665579,0.027160494,0.046714173,0.036446469,0.133233533,0.017647059
specc1la,0.055430229,0.033096133,0.037134407,0.112449799,0.044453507,0.057613169,0.091053048,0.025056948,0.053892216,0.052941176
adora2aa,0.009023526,0.001611171,0.002957608,0.009370817,0.006525285,0.004938272,0.003958828,0,0.179640719,0
upb1,0.000322269,0.000604189,0.000328623,0.008032129,0.002039152,0.008230453,0,0,0.004491018,0
gucd1,0.021269739,0.016313104,0.034834045,0.022757697,0.033849918,0.032098765,0.026920032,0.011389522,0.050898204,0.041176471
snrpd3,0.003222688,0.000469925,0.001971738,0.008032129,0.000815661,0.003292181,0.005542359,0,0.004491018,0.023529412
p2rx4b,0.002900419,0.000872718,0.003614854,0.008032129,0.001223491,0.004115226,0.002375297,0,0.002994012,0.017647059
p2rx7,0.004834032,0.000201396,0.000328623,0.010709505,0.000815661,0.000823045,0.007917656,0,0.001497006,0.052941176
