Gene,Crista.SCs_spec,HCs_spec,Macula.SCs_spec
si:ch211-106g8.17,1.0,1.0,1.0
si:dkeyp-106c3.1,0.983606557,0.983606557,0.984761905
si:dkey-231j24.3,0.996825397,1.0,0.996825397
ftr30,0.998730159,0.991304348,0.991304348
pigrl3.5,0.997460317,0.982608696,0.982608696
rab6bb,0.879365079,0.982608696,0.879365079
si:ch211-215e19.3,1.0,1.0,1.0
si:ch211-215e19.8,1.0,1.0,1.0
camk2n1a,0.803809524,0.947826087,0.803809524
tradv10.0.3,1.0,1.0,1.0
tradv10.0.4,1.0,1.0,1.0
tradv11.0.3,1.0,1.0,1.0
si:dkeyp-104b3.21,0.991803279,0.982608696,0.982608696
pde4bb,0.6844444439999999,0.901639344,0.6844444439999999
tradv13.0,1.0,1.0,1.0
tradv10.0.5,1.0,1.0,1.0
tradv14.0,1.0,1.0,1.0
egfra,0.573770492,0.573770492,0.730434783
ttc19,0.940952381,0.973913043,0.940952381
skila,0.860655738,0.860655738,0.944126984
tradv15.0,1.0,1.0,1.0
ftr29,0.998095238,1.0,0.998095238
mier1b,0.968888889,0.956521739,0.956521739
tradv16.0,1.0,1.0,1.0
tradv17.0,1.0,1.0,1.0
mul1a,0.968253968,0.973913043,0.968253968
gbp2,0.998730159,1.0,0.998730159
si:dkeyp-104b3.18,1.0,1.0,1.0
atr,0.94984127,0.939130435,0.939130435
tradv18.0,1.0,1.0,1.0
acot11a,0.99047619,0.965217391,0.965217391
zbtb47a,0.99047619,0.991803279,0.99047619
CU464125.1,0.999365079,1.0,0.999365079
ftr32,1.0,1.0,1.0
tradv19.0,1.0,1.0,1.0
tradv20.0,1.0,1.0,1.0
tradv21.0,1.0,1.0,1.0
dcun1d1,0.972063492,0.965217391,0.965217391
si:dkeyp-104b3.2,1.0,1.0,1.0
si:dkeyp-104b3.1,0.999365079,0.991304348,0.991304348
tradv22.0,1.0,1.0,1.0
