Gene,Late RPCs,Photoreceptor Precursor,RGC,Early RPCs,Amacrine,Muller Glia,Horizontal,Bipolar,Photoreceptor
gad2_prdm13,0.001022495,0.001251564,0.01242236,0,0.026914329,0.006726457,0.011574074,0.000513875,0
gad2_rims2a,0.000511247,0.001251564,0.033385093,0,0.105761941,0.002242152,0.023148148,0.000513875,0
gad2_kcnab1b,0,0,0.014751553,0.000152277,0.056861259,0.002242152,0.002314815,0.000513875,0
gad2_slc18a3a,0,0,0.013198758,0,0.037149356,0,0.009259259,0,0.001776199
dtnbp1b_kctd15a,0.000102249,0,0.011645963,0,0.023881729,0,0,0,0
kctd15a_prdm13,0.001226994,0.001251564,0.010093168,0,0.031084155,0,0.030092593,0,0
kctd15a_rims2a,0.000511247,0,0.017857143,0,0.042077331,0,0.00462963,0,0
kcnab1b_kctd15a,0.000102249,0,0.00931677,0.000304553,0.019332828,0,0,0,0
kctd15a_slc18a3a,0,0,0.011645963,0,0.021986353,0,0.00462963,0.000513875,0
dtnbp1b_prdm13,0,0,0.005434783,0,0.014404852,0,0,0,0
dtnbp1b_rims2a,0.000102249,0,0.027950311,0,0.061031084,0,0.00462963,0,0
dtnbp1b_kcnab1b,0.000102249,0,0.01552795,0,0.031842305,0,0,0,0
dtnbp1b_slc18a3a,0,0,0.017857143,0,0.031084155,0,0.00462963,0,0
prdm13_rims2a,0.000102249,0.001251564,0.007763975,0,0.031084155,0.002242152,0.006944444,0.000513875,0
kcnab1b_prdm13,0,0,0.003881988,0,0.008718726,0,0.00462963,0,0
prdm13_slc18a3a,0,0,0.003881988,0,0.010993177,0,0.00462963,0,0
kcnab1b_rims2a,0,0,0.017857143,0,0.045868082,0,0.002314815,0,0
rims2a_slc18a3a,0,0,0.024068323,0,0.048521607,0,0.006944444,0,0.001776199
kcnab1b_slc18a3a,0,0,0.01863354,0,0.023123578,0,0.002314815,0,0
gnb3a_vsx1,0.011656442,0.043804756,0.086956522,0.001370489,0.056482183,0.062780269,0.212962963,0.608941418,0.039076377
pcp4l1_vsx1,0.005521472,0.026282854,0.064440994,0.000761383,0.044730857,0.031390135,0.157407407,0.450154162,0.026642984
