Gene,HCs,Macula.SCs,Crista.SCs
gar1_rsl1d1,0,0,0
nip7_rsl1d1,0.000634921,0,0
aldob_rsl1d1,0,0,0
metap2b_rsl1d1,0.004444444,0,0
eif6_wdr76,0,0,0
prdx6_wdr76,0,0,0
ebna1bp2_wdr76,0,0,0
si:ch211-217k17.7_wdr76,0,0,0
cox17_wdr76,0,0,0
nhp2_wdr76,0,0,0
prps1a_wdr76,0,0,0
fbl_wdr76,0,0,0
gnl3_wdr76,0,0,0
phb_wdr76,0,0,0
npm1a_wdr76,0,0,0
si:ch211-66k16.27_wdr76,0,0,0
rpl7l1_wdr76,0,0,0
gar1_wdr76,0,0,0
nip7_wdr76,0,0,0
aldob_wdr76,0,0,0
metap2b_wdr76,0,0,0
eif6_prdx6,0.01015873,0.008196721,0
ebna1bp2_eif6,0.006984127,0.008196721,0
eif6_si:ch211-217k17.7,0.003174603,0,0
cox17_eif6,0.02984127,0.008196721,0
eif6_nhp2,0.005079365,0.008196721,0
eif6_prps1a,0.015873016,0.024590164,0
eif6_fbl,0.006349206,0.016393443,0
eif6_gnl3,0.003174603,0,0
eif6_phb,0.007619048,0,0
eif6_npm1a,0.000634921,0.016393443,0
eif6_si:ch211-66k16.27,0.000634921,0,0
