Gene,Crista.SCs,HCs,Macula.SCs,max,maxcol
tmem176l.1,0.130434783,0.026031746,0.081967213,0.130434783,Crista.SCs
snip1,0.008695652,0.013333333,0.016393443,0.016393443,Macula.SCs
xrcc1,0.026086957,0.01968254,0.016393443,0.026086957,Crista.SCs
p3h3,0.026086957,0.017142857,0.016393443,0.026086957,Crista.SCs
mdc1,0.026086957,0.032380952,0.024590164,0.032380952,HCs
si:dkey-87o1.2,0.017391304,0.002539683,0.008196721,0.017391304,Crista.SCs
rbfa,0.017391304,0.027301587,0.016393443,0.027301587,HCs
si:dkey-222b8.1,0.008695652,0.001269841,0,0.008695652,Crista.SCs
cobl,0.32173913,0.454603175,0.442622951,0.454603175,HCs
stmn2a,0,0.003174603,0,0.003174603,HCs
snrnp48,0.026086957,0.033650794,0.008196721,0.033650794,HCs
dennd3b,0,0.001904762,0,0.001904762,HCs
LIN28A,0,0.001269841,0,0.001269841,HCs
adnp2a,0.008695652,0.017142857,0.008196721,0.017142857,HCs
FP015809.1,0.008695652,0.000634921,0,0.008695652,Crista.SCs
mecr,0,0.010793651,0.024590164,0.024590164,Macula.SCs
etv2,0,0.000634921,0.008196721,0.008196721,Macula.SCs
ccr2,0,0,0,0,Crista.SCs
dhdds,0,0.027936508,0.016393443,0.027936508,HCs
gpn2,0.017391304,0.032380952,0.016393443,0.032380952,HCs
si:dkey-152b24.8,0,0.000634921,0.008196721,0.008196721,Macula.SCs
ccr2.1,0,0.001269841,0.008196721,0.008196721,Macula.SCs
si:dkey-152b24.7,0,0.002539683,0.008196721,0.008196721,Macula.SCs
pard6ga,0,0,0,0,Crista.SCs
zgc:174938,0,0.000634921,0,0.000634921,HCs
rnf41l,0.008695652,0.025396825,0.008196721,0.025396825,HCs
zgc:136493,0.017391304,0.013968254,0,0.017391304,Crista.SCs
fli1b,0,0.000634921,0.008196721,0.008196721,Macula.SCs
slc45a4b,0.034782609,0.047619048,0.016393443,0.047619048,HCs
drd2l,0.008695652,0.002539683,0,0.008695652,Crista.SCs
arid1aa,0.017391304,0.095238095,0.032786885,0.095238095,HCs
chtopb,0,0,0,0,Crista.SCs
si:dkeyp-77h1.4,0,0.003809524,0.008196721,0.008196721,Macula.SCs
apoa4b.2,0,0,0,0,Crista.SCs
osgin2,0,0,0,0,Crista.SCs
BX470242.2,0,0.008253968,0,0.008253968,HCs
sall3a,0.017391304,0.067301587,0,0.067301587,HCs
apoc4,0,0,0,0,Crista.SCs
CU929328.1,0,0,0,0,Crista.SCs
upp1,0.017391304,0.040634921,0.032786885,0.040634921,HCs
shisa7a,0.008695652,0.061587302,0.008196721,0.061587302,HCs
si:dkey-7f3.14,0,0,0,0,Crista.SCs
gstk2,0.008695652,0.017777778,0,0.017777778,HCs
apoeb,0.017391304,0.018412698,0.06557377,0.06557377,Macula.SCs
zp3d.2,0,0.000634921,0,0.000634921,HCs
si:dkey-152b24.6,0,0,0,0,Crista.SCs
si:ch211-208k15.1,0.373913043,0.436825397,0.278688525,0.436825397,HCs
dgat1b,0.026086957,0.15047619,0.016393443,0.15047619,HCs
gnb3a,0.008695652,0,0,0.008695652,Crista.SCs
si:ch73-54f23.4,0,0.001269841,0,0.001269841,HCs
nbn,0.086956522,0.06984127,0.057377049,0.086956522,Crista.SCs
si:dkey-271j15.3,0,0.003174603,0,0.003174603,HCs
rad54b,0,0.001269841,0.008196721,0.008196721,Macula.SCs
si:dkey-239n17.6,0,0,0,0,Crista.SCs
npr1b,0.008695652,0.005079365,0.008196721,0.008695652,Crista.SCs
BX649388.2,0.008695652,0.004444444,0.008196721,0.008695652,Crista.SCs
dyrk1b,0.2,0.214603175,0.319672131,0.319672131,Macula.SCs
zp3d.1,0,0.003174603,0,0.003174603,HCs
gtpbp10,0.008695652,0.014603175,0.008196721,0.014603175,HCs
BX511010.1,0,0,0,0,Crista.SCs
apoa4b.2.1,0,0,0,0,Crista.SCs
ube2s,0.008695652,0.04,0.016393443,0.04,HCs
si:ch211-69g19.2,0,0.000634921,0.016393443,0.016393443,Macula.SCs
apoc1,0.043478261,0.028571429,0.032786885,0.043478261,Crista.SCs
them4,0.008695652,0.056507937,0,0.056507937,HCs
apoa4b.1,0,0,0,0,Crista.SCs
tmem176l.3a,0.034782609,0.004444444,0.032786885,0.034782609,Crista.SCs
jarid2a,0.069565217,0.203174603,0.073770492,0.203174603,HCs
zdhhc18a,0.026086957,0.090793651,0.032786885,0.090793651,HCs
ino80e,0.017391304,0.036190476,0.016393443,0.036190476,HCs
si:dkey-122a22.2,0.026086957,0.03047619,0.016393443,0.03047619,HCs
hmgn2,0.095652174,0.096507937,0.057377049,0.096507937,HCs
gra,0,0.000634921,0,0.000634921,HCs
smpdl3b,0,0.000634921,0,0.000634921,HCs
znf407,0.008695652,0.008888889,0.016393443,0.016393443,Macula.SCs
si:dkey-242e21.3,0,0.004444444,0.008196721,0.008196721,Macula.SCs
dennd4b,0,0.024761905,0.024590164,0.024761905,HCs
josd2,0.034782609,0.026666667,0.016393443,0.034782609,Crista.SCs
mboat7,0.026086957,0.012698413,0.024590164,0.026086957,Crista.SCs
rorc,0.008695652,0.018412698,0.008196721,0.018412698,HCs
scrt1b,0,0.000634921,0,0.000634921,HCs
adgrb1a,0.069565217,0.213333333,0.06557377,0.213333333,HCs
tent5ba,0.113043478,0.104761905,0.131147541,0.131147541,Macula.SCs
plekhf2,0.060869565,0.167619048,0.040983607,0.167619048,HCs
tmem176l.2,0,0,0,0,Crista.SCs
ndufaf6,0.017391304,0.021587302,0.024590164,0.024590164,Macula.SCs
mroh1,0.069565217,0.20952381,0.090163934,0.20952381,HCs
rbm12b,0.008695652,0.062222222,0.016393443,0.062222222,HCs
ino80e.1,0.026086957,0.008888889,0,0.026086957,Crista.SCs
tmc4,0.008695652,0.001904762,0.024590164,0.024590164,Macula.SCs
tp53inp1,0.008695652,0.147301587,0.032786885,0.147301587,HCs
setd2,0.12173913,0.162539683,0.090163934,0.162539683,HCs
CR854927.1,0.008695652,0.000634921,0,0.008695652,Crista.SCs
nagpa,0.017391304,0.036190476,0.016393443,0.036190476,HCs
pde11al,0,0.039365079,0,0.039365079,HCs
ccne2,0,0.003174603,0,0.003174603,HCs
si:ch211-198c19.1,0,0,0,0,Crista.SCs
themis2,0,0.002539683,0.008196721,0.008196721,Macula.SCs
zfpm2a,0.191304348,0.017777778,0.040983607,0.191304348,Crista.SCs
BX324007.2,0.026086957,0.01968254,0,0.026086957,Crista.SCs
tmem176l.4,0.008695652,0.001269841,0,0.008695652,Crista.SCs
